# isolated_no_hop_copy_array --values=1:200:linear --objects=100:50000:linear --points=1000
#
# values objects Δschedule(ns) Δtotal(ns)
52	670	15542	15584
5	30496	1478333	1478458
157	667	22501	22459
165	10225	461792	461792
178	29908	598376	598625
113	12869	207874	207916
193	47905	744000	743667
45	12387	202084	202167
197	31264	491168	492376
177	16633	264583	264625
17	312	7250	7292
185	33776	569292	570126
193	21710	328291	328167
147	33345	506834	506751
62	37214	755166	756249
68	9139	135958	135958
9	20487	301208	301250
158	3464	39209	39209
39	18654	261458	261792
16	24914	484000	484417
22	16867	319041	319250
127	40613	631334	632250
104	43189	669374	669582
147	5764	78167	78209
142	31855	556125	558250
164	44913	700500	700750
140	49752	839916	842083
44	19954	398334	401167
38	40544	634625	634749
126	31032	556084	556334
166	28329	404959	404626
171	33380	481043	481042
34	2100	35958	35999
57	31307	448375	448958
168	47415	691042	690541
17	32037	614417	614875
31	47247	867668	868043
181	43653	675750	675917
85	32314	512250	512083
99	19317	288333	288167
1	40719	559708	559583
176	2703	42125	42125
69	21558	432000	432250
57	261	5375	5375
110	3650	55708	55708
188	1755	24666	24625
168	47476	614083	612291
136	1743	27250	27250
32	49726	783500	783667
170	47818	690625	690875
182	41778	574458	574375
11	49701	891542	891791
103	35253	529709	529750
90	20663	292042	292084
49	7028	69250	69208
66	49191	884916	885625
51	42587	688249	690249
119	2372	36500	36541
15	19051	303208	303208
117	31064	512125	512209
157	12399	148208	147917
57	26385	419041	419333
102	44207	626292	626251
72	42168	907166	909166
119	40804	631291	631125
15	18801	308167	308167
108	49809	697000	694500
73	32805	525458	525458
187	19422	306625	306625
51	15014	215084	215000
182	2906	47167	47334
61	49527	759791	759749
28	21505	318125	317625
77	33937	525668	525626
141	1968	30666	30666
5	25492	382584	382584
136	18450	220584	221084
60	41317	675750	675834
95	13301	195376	195584
116	32463	546751	547125
38	27438	443542	443625
171	10918	167666	167749
101	5435	82792	82750
195	27996	464833	465375
192	35789	441958	441375
156	5109	83542	83500
36	4451	54959	54917
47	44750	821083	821499
77	20185	263500	263125
125	19769	325917	325917
176	30545	401125	401208
131	26629	356666	356167
41	12119	207083	207125
97	13540	183166	183125
146	25777	474250	474250
168	6687	97542	97500
62	45650	674042	673959
81	15827	293625	293625
56	37429	432417	429458
105	40396	596416	596792
196	34160	570500	570500
19	26661	407709	405209
2	20538	252666	252458
59	45583	664666	664791
162	26813	477791	478041
2	46773	615750	616001
38	30391	341708	339167
102	32886	458917	458791
15	23280	254167	253167
42	20343	423209	424083
188	41987	726792	726750
64	6310	97500	97542
129	46683	720458	722292
199	23819	370917	370917
1	42214	491375	491125
36	10317	108208	108333
23	10036	141667	141667
58	21828	359250	359250
5	36489	498042	497709
195	49417	819792	820167
43	38746	687250	688667
78	645	11416	11457
172	29696	440500	440459
88	11044	162542	162500
61	45664	708082	707416
10	10099	156459	156542
133	14939	222833	222875
77	15254	199083	199042
10	31533	419584	417458
149	26443	432417	432417
1	32051	477542	477501
141	35583	531875	532416
75	37829	582750	582750
124	19515	358833	358792
8	44145	853249	853833
163	10818	158500	158500
164	3151	43167	43166
37	25303	346000	345958
134	46931	674667	671500
38	26242	384250	384208
179	2448	38541	38541
119	16381	259208	259292
108	48435	938000	941083
114	17161	262958	262958
95	48099	707542	707542
46	6715	112833	112499
72	33411	534750	534750
54	6594	89584	89542
142	11219	411750	413292
71	25549	491626	492293
63	26480	380959	381001
84	26682	409250	409250
57	19201	266124	265541
20	3222	49750	49666
93	15150	213209	213209
35	28832	449000	449084
162	35534	538500	538292
53	37381	593458	593208
67	45097	622125	621917
107	49594	866458	866375
58	41022	793293	794959
178	26163	389208	389291
171	1396	22334	22376
119	33217	451250	450834
114	12135	211417	211666
88	523	6791	6791
57	31580	461625	461416
27	36060	580209	580250
5	28498	533334	532542
149	16803	290583	290542
163	37394	661708	661374
47	15152	202292	202292
30	13336	222209	222459
79	4788	69959	69792
31	27272	469041	468959
46	5295	100416	100541
20	4588	77459	77625
88	10528	174041	173875
104	19918	379708	379750
31	17436	188417	188625
3	16842	260875	260750
127	44914	396125	395167
115	23269	576417	576042
19	29997	534042	534292
163	44485	728500	730416
55	19127	239167	241958
195	1161	19874	19833
106	42424	600000	600083
163	49503	653333	653750
125	13176	210124	209749
66	25308	340292	340625
14	4908	101043	101001
154	7982	77959	77959
121	47006	773584	773667
161	28356	483793	483917
52	35331	481458	481500
35	29024	480583	481167
93	38672	519000	519041
152	12037	153333	153666
120	46247	638709	638709
38	38927	637416	637875
66	34719	517209	517209
46	45427	562918	562209
168	11712	179708	179750
72	18707	251792	251583
120	39745	488334	485292
2	12871	190626	190626
62	33069	473750	473750
151	9006	127625	127584
74	32265	537166	539792
170	7266	106416	106374
117	32905	473042	473084
108	34008	486250	485666
114	26027	402250	402250
133	9989	150584	150584
97	14538	221166	221166
89	21234	280041	279417
47	2499	25875	25875
41	26864	419458	419500
190	35951	480041	479583
41	35745	522250	522624
1	37878	521500	518084
84	26134	377917	377917
71	10633	156709	156667
22	36430	537291	536917
