# isolated_hop_reset_array --values=1:200:linear --objects=100:50000:linear --points=1000
#
# values objects Δschedule(ns) Δtotal(ns)
10	48838	2333751	5105376
110	48242	2180792	5448667
191	27116	1313916	2872917
117	8704	420542	962625
199	26015	1121416	2824542
33	17961	885958	2013042
99	13592	570709	1478834
126	16217	496250	1733833
128	49026	2227833	5297625
184	8082	293000	886125
41	48481	2284291	5248208
87	36772	1514667	3958125
198	35943	1702500	3948208
67	31580	1264042	3577417
54	531	-2166	69042
128	26011	1085417	2804167
188	10406	467126	1147376
91	49829	2238917	5538917
69	2008	61750	236250
177	11198	471042	1305666
126	35788	1789459	3913667
72	41082	2104084	4726084
163	23387	916999	2527124
83	22378	948499	2602458
78	43463	2088958	4680999
131	45138	2174875	5135083
78	37297	1793751	4267542
186	13786	530917	1502000
45	33960	1799375	3704458
27	21908	886000	2366416
48	39860	1821417	4458791
100	4417	159084	496459
24	27708	2827209	4702459
43	46075	2978167	5963333
67	32565	4844583	7187917
62	21680	689834	2846709
185	16792	1854167	3171000
152	10285	291333	1137291
153	41899	2735666	5666958
193	12343	482333	1420126
140	41255	2050458	4562499
104	13951	714041	1558749
195	2662	79709	315708
149	24650	3719957	5642499
187	21633	1062541	2432375
15	11002	458125	1176542
103	27088	1384958	3107083
144	24148	3877000	5932875
42	34353	5516293	8238418
68	19088	784333	2189207
80	42666	2245001	4774250
183	27514	3765458	5986209
96	28381	1254375	3075167
45	39044	7265792	10282417
188	3856	69375	412458
55	29523	1121250	3223625
110	49717	2333083	5748666
11	30459	3944376	6206250
33	7948	335833	939208
67	39515	7457374	10633333
74	37937	3226084	6061667
134	32394	4923125	7177458
43	33436	1713125	3956083
134	42106	2004791	4817667
63	38663	1771125	4190374
71	22553	914542	2444124
176	20440	1032625	2371375
74	38563	1575167	4137334
77	48497	2351708	5292125
67	29598	1232791	3399916
4	32447	3397166	5892833
76	41022	2173041	4791958
90	35427	1719625	3920750
195	32161	1601209	3626292
52	42590	2142416	4746625
181	26704	1014042	3014583
114	35422	1543334	3944250
161	30024	1338458	3531542
136	30375	1414625	3382917
5	38650	1598375	4195167
164	33558	1410624	3712416
21	43512	2171001	4750292
26	48598	2373250	5329917
80	43634	2933249	5955958
79	6856	258625	796708
101	29366	1243042	3123583
173	40065	2170876	4448709
11	28071	1198874	3243708
76	22743	1100542	2667292
64	44831	8587459	12119084
69	30837	2288874	4426917
67	46712	2375459	5278001
14	22049	922959	2447708
177	29995	1410583	3386458
111	6724	232708	761625
66	39233	1740667	4468917
50	40025	2152375	4723542
102	4894	216833	545542
188	40818	1902541	4516416
92	13847	428375	1519791
26	10554	418125	1251917
176	24250	1135125	2649374
19	16227	838791	1873958
71	18600	873333	2330708
82	5095	979376	1467917
140	46232	2442542	5330208
69	25324	1606125	3291292
101	3488	125958	395375
54	8263	300001	882292
8	40918	2050293	4614292
200	10244	409332	1131291
8	36577	1648042	4056375
109	8341	380500	1002958
56	33870	2475041	4828125
147	26149	1130542	2956959
36	12554	444834	1362750
121	2948	118583	353125
87	9360	386708	1037542
102	3126	83041	350209
39	3972	138042	438417
166	3876	144625	426292
130	26792	1279042	2976208
76	34332	1504958	3659875
123	18609	819833	2006708
104	41176	2222959	4749625
135	10201	376042	1120792
60	40896	2128917	4785375
166	28509	1436542	3445459
102	45646	3531166	6269374
110	36038	1942249	4334208
174	825	17083	124917
99	3789	120833	530625
156	12252	2335833	3534791
47	14503	555792	1614042
120	44763	6243500	9651624
174	31448	1378333	3438958
64	1776	37542	229917
188	28887	1445791	3131958
38	20908	942208	2295250
75	42317	1864083	4699000
4	20237	994084	2250792
167	44219	2071500	4917458
90	24774	972792	2601334
182	17959	782959	2037875
166	629	6125	83875
24	28517	1409375	3226375
32	32955	1647708	3711541
69	21959	762250	2034166
49	36149	1871000	4186541
173	25554	1110917	2776625
162	15493	736750	1811043
16	24452	1067375	2685041
24	7753	394875	930375
20	7610	354918	922376
189	44607	2338334	5177875
74	17675	2170833	3458208
1	18757	885917	2239625
113	3226	75166	370750
32	11027	327833	1166791
129	4740	200791	551458
30	36914	2189791	4795583
33	40198	2040042	4473208
175	3523	85791	404874
117	2541	78000	300791
57	37539	2778292	5488126
88	46215	2445667	5321584
47	19835	3774375	5456209
88	41142	2820208	5739417
186	18409	4115292	5673709
63	28006	3823000	6143042
21	48841	2060334	5511917
140	37759	1919833	4275542
167	23618	838751	2557126
97	16693	818666	1892084
23	15487	759917	1717709
197	47379	2365542	5148000
50	26216	1279209	2854209
56	12319	401417	1378750
135	33270	1284917	3781001
173	14628	454666	1603333
29	46411	2235792	5245000
121	19163	945708	2089750
187	9154	299958	1021292
75	26859	1047834	2834209
181	15266	695166	1669375
189	47618	2264750	5328417
115	4343	122542	476584
147	21372	861875	2324583
127	34081	1564584	3723792
194	4211	112833	490208
43	18225	717125	1997167
122	44707	2175958	4873583
137	45858	2315001	5229334
196	16643	624750	1795750
125	46957	2120292	5233249
100	27451	1376001	3200292
179	5079	153208	568250
41	23974	905458	2658375
67	26447	1266917	2894125
125	41211	3453792	6071167
73	17722	741959	2010875
55	42357	2070291	4682541
48	29767	1443957	3232166
161	13283	451376	1441250
171	30759	1344417	3338542
132	35827	1759499	3903875
160	29869	1408916	3709417
65	23692	971458	2596124
119	7409	336875	870583
33	19587	530001	2727250
98	33562	4709709	7183750
93	49403	2452541	5649958
93	16611	654209	1786876
115	22105	1060125	2416958
78	19950	850458	2191125
89	19024	1335875	2803709
191	8772	287208	972917
58	10620	406542	1124584
73	4250	148916	491709
132	20205	913833	2318708
41	17699	800667	2156542
147	47544	2272458	5356875
5	39619	1690875	4489125
193	32892	1261875	3652750
200	37251	1713542	4066042
191	5438	189042	640334
76	2878	72625	335499
111	41211	1750000	4553791
73	10700	961751	1865876
156	9355	2002791	2854916
21	18258	787334	2075792
10	12546	499958	1475333
51	47851	2442458	5373583
132	44370	1931583	4719292
133	5944	204958	679000
4	11393	544292	1429750
26	32126	1540083	3537209
91	1321	29083	154708
92	19379	851959	2105043
21	45454	2323416	5234917
102	38660	1911917	4404084
191	13251	873000	1813125
