# isolated_hop_reset_tree --values=1:200:linear --objects=100:50000:linear --points=1000
#
# values objects Δschedule(ns) Δtotal(ns)
119	11717	-1427791	5430333
98	31795	-2535666	5380251
196	12556	-856916	1207583
47	45696	-2890541	5123166
130	9070	-552581	3200667
143	16448	-996791	1825042
155	8459	-528749	927500
179	9626	-635999	1007125
177	40842	-2577333	11061667
185	40594	-2630041	4008584
154	39682	-2426540	4101125
37	7411	-449582	761125
4	16039	-997915	1497584
49	2214	-139582	276667
157	48626	-2927707	4427000
162	33785	-2168666	3199833
147	47363	-2976625	3941125
45	40095	-2585332	10022333
68	32715	-2037708	3573416
58	29828	-1914249	3212000
128	43766	-2784291	11000667
64	1244	-77332	130542
26	17853	-1152290	3394293
127	25230	-1618457	9236458
171	27897	-1820208	2575791
157	24102	-1547958	9372625
163	35677	-2217040	7756042
193	2880	-175707	314833
147	28574	-1882123	2900709
178	44700	-2911541	9321333
162	44899	-2859499	4049334
29	36632	-2269207	10305125
166	6000	-354790	635833
14	2966	-185125	287292
94	36579	-2390333	10391791
184	25055	-1568291	6504500
117	31692	-2034250	7863249
3	26695	-1617499	5251584
123	26538	-1699707	9114083
19	46787	-2861125	13847125
71	21524	-1317541	7895750
8	36470	-2245124	3802417
130	17889	-1166374	6004959
25	6891	-423832	748542
62	33036	-2202166	8445916
174	48026	-3055708	5820041
81	2383	-141958	872874
84	7990	-471583	2681458
158	26741	-1725374	9446167
64	8448	-538831	868501
106	36136	-2238291	5896041
163	40153	-2679916	5267333
10	23972	-1551792	2563541
192	33174	-2158208	3508208
173	9698	-588124	3494375
3	44913	-2859416	11247708
73	7174	-467291	675166
61	13849	-899874	3679041
191	11830	-723708	4315792
21	46816	-2803583	16667292
36	486	-26498	212250
15	15237	-920374	5472417
179	39167	-2479624	10663000
135	5319	-322833	508416
99	24513	-1521332	9416958
91	31774	-1904499	5968417
110	44199	-2660833	11105583
21	23324	-1479207	9028292
55	20045	-1283041	1989125
199	38981	-2437666	4127417
139	25802	-1594541	9529291
53	37168	-2413081	3870501
141	9550	-621790	3151209
30	28311	-1820124	3107000
118	16122	-970623	1563417
95	6232	-411999	686333
87	42630	-2737165	4320292
31	15691	-988165	1519583
125	49629	-3099249	4810583
188	18387	-1232831	1683084
25	28847	-1776916	3249333
114	49082	-3006249	4090500
66	37387	-2394458	3820250
149	23913	-1439458	2380917
42	37909	-2303582	4110667
4	23007	-1381916	2234208
90	7341	-443082	743792
171	49023	-2985457	4703167
113	45050	-2861999	9109292
42	26909	-1689123	2918834
28	9346	-592665	920875
142	13563	-841958	1333708
191	43410	-2720415	4288875
36	23865	-1480415	2505209
81	47266	-3019166	4680958
102	8524	-549374	806250
94	34485	-2191248	3197000
140	14234	-886124	1344209
89	34243	-2229791	3409125
100	14046	-874583	1285291
193	11257	-707958	3488791
75	34409	-2158583	3588542
81	36482	-2256291	3681291
81	45454	-2910791	4387750
174	34083	-2159416	3630750
107	46117	-2885166	3914375
57	28363	-1775958	3075624
190	37729	-2362999	4173333
200	19604	-1273831	1874917
35	37893	-2411207	4026834
96	21256	-1351874	6358000
136	28786	-1896915	2738958
138	21675	-1370207	2136334
27	42752	-3135333	11000292
11	14147	-995749	1316125
26	45180	-2773416	9749749
49	43648	-2759458	10658166
168	20684	-1276915	1822375
137	45589	-2745916	10588500
139	9975	-630706	1047418
194	39117	-2552373	9759584
95	41959	-2550373	11064834
21	36490	-2394666	3369833
24	32291	-1926958	3493750
183	8585	-546082	892292
23	7907	-471666	1619749
59	8925	-542749	875833
190	6313	-403498	645209
84	33524	-2238999	11909666
134	5043	-324749	502958
59	10517	-651916	1126083
20	26934	-1699708	4867958
155	28692	-1740040	9713626
28	30986	-2026249	7036208
5	16797	-1042791	1676792
46	44304	-2714749	4484833
71	6344	-379874	647500
51	33682	-2142916	3478500
180	30636	-1932665	3411125
69	11604	-701374	1037958
23	41121	-2509083	4204208
173	29119	-1772457	3206584
193	40482	-2556916	4175791
195	36017	-2246500	3584291
138	9338	-593873	925042
187	40679	-2501416	9764916
141	20027	-1244457	2061542
57	26203	-1687707	2900500
127	29192	-1903916	2882833
161	8447	-546208	2992374
198	22778	-1446082	3107625
26	12306	-742416	4439666
110	17219	-1118207	1649958
198	35554	-2217582	8114251
199	4481	-286999	407000
2	46911	-2959707	3876875
61	32613	-1972749	3508000
18	20276	-1314916	1524625
200	46451	-2888999	12016125
195	39249	-2436708	4172375
180	18749	-1156666	5889625
30	371	-22583	75958
3	28766	-1786124	9767125
17	9869	-663000	3334833
119	43031	-2619124	7950709
133	28919	-1937499	2665792
171	27634	-1713332	9632125
133	32307	-1999581	6036667
158	38037	-2336875	10105083
88	11482	-730625	1021583
139	865	-50208	98000
160	32552	-2089416	5893417
64	15322	-922415	1476458
197	11198	-674541	1067125
42	46379	-2861708	10710250
69	27787	-1745166	2939667
98	6490	-405374	623541
174	49062	-3037374	4090167
57	42851	-2673582	4477708
87	31718	-1939499	3347333
25	11121	-663749	1058208
192	9736	-587457	1000834
117	5459	-323915	523292
173	45779	-2772708	3827541
137	7374	-453625	776874
119	39773	-2452916	4186750
188	22420	-1381291	2161209
53	14304	-886665	1353458
60	33694	-2190415	3569750
119	21711	-1352291	2159208
104	22763	-1384290	2340834
163	26266	-1641750	2788458
119	38566	-2513958	4152125
195	10724	-671499	1020250
183	28971	-1807541	3099791
70	32448	-2008998	3495625
179	31700	-2081749	3384375
32	8991	-554582	974042
100	22002	-1325916	2203500
40	2553	-152124	261416
130	46915	-2818957	4284542
52	41173	-2537373	4169125
176	38261	-2347249	10793667
143	22540	-1389249	1993041
35	47753	-2952624	4104251
55	25918	-1609041	2794459
27	37407	-2376957	3578251
5	24543	-1530332	2579167
177	48086	-3035707	4430542
100	41295	-2691208	4194583
135	33164	-2089582	3135500
53	4297	-261083	1493374
90	36915	-2358957	10589167
88	13617	-829665	1150584
167	41697	-2581999	4262750
80	1927	-117041	208458
4	33630	-2111665	3500251
91	45167	-2857208	8178999
115	32269	-1951957	3517042
188	1761	-102332	201167
75	25945	-1593291	2829708
100	5893	-349832	602792
13	31380	-1908332	3325584
151	23574	-1486582	2395667
136	47336	-2845415	9207167
91	10918	-673082	1028167
65	9084	-583832	925417
170	31660	-1927082	10047250
49	4211	-256373	377417
169	3982	-246873	372000
196	46038	-2935915	3786501
149	29217	-1799124	2925334
84	31458	-1990041	3372666
187	23236	-1392291	2404500
95	28082	-1698540	2896000
61	25395	-1595291	2254625
36	4976	-302583	549249
182	4534	-274125	413999
50	39147	-2429873	4314376
71	40570	-2647082	8955709
55	587	-33708	88208
171	26275	-1623749	2796708
172	1213	-73792	144791
134	36081	-2323666	5580042
52	28775	-1804624	2906332
18	29217	-1780957	3121875
196	7347	-438166	771958
200	7576	-465499	1276875
85	27862	-1690791	3026167
159	13880	-893498	1255959
13	10255	-649207	964625
6	42414	-2614665	3670084
174	41189	-2512833	10776708
92	45850	-2946207	3899209
12	10638	-662166	999916
23	5420	-336457	514042
9	25941	-1595708	2348375
160	49885	-3027208	6729749
148	9586	-613458	902417
117	7527	-472791	813208
82	12640	-763540	1235875
174	20372	-1238249	7639583
196	11138	-693207	4024833
168	44190	-2798624	5477459
81	2945	-174415	298376
5	18571	-1187540	1807417
15	30277	-1820082	2886250
196	43174	-2656040	6318208
40	30868	-1890957	3142833
34	5545	-337623	990584
152	6330	-376791	2176458
159	32242	-1960082	10853250
41	36761	-2270874	4348875
83	30329	-1850332	8517083
24	15462	-923625	1327875
105	49626	-3072582	4489625
61	43751	-2772707	3954459
197	27179	-1644625	2732042
149	33704	-2173166	2971500
76	10792	-655165	3213875
