# data/inputs-5K.txt async_reset_tree --ballast=0
#
# schedule(ns) total(ns)
3917	1649375
4750	2037250
2292	783209
5125	2180875
2000	483167
4167	1816167
2500	145000
4083	1016458
2708	297541
2417	900875
2375	1199292
5208	2099875
2375	264792
2292	999834
3041	968541
2916	13166
3417	43958
2042	2279542
2666	1832083
17792	701709
4541	539750
1417	1041208
1417	763417
3209	914500
1375	390916
1833	1345916
1875	1658292
1708	389833
1584	1135667
1084	505792
1083	524042
1250	1002833
4000	523000
1542	596958
5208	447542
2375	1311792
3667	503250
1667	186792
1333	50916
3333	1967125
1583	1054166
1750	1546542
3833	294667
9042	155000
1291	470708
1417	41458
2916	1331500
2208	318666
1667	125250
1542	730625
1334	630875
1250	961167
1167	1647042
1208	1428833
1166	821166
1292	1886917
2917	620333
1583	1006625
3083	1194041
2459	1869167
2584	91959
2667	1091792
4625	1338167
5291	716708
2625	1147709
2792	1182042
2667	1089084
2667	1194750
2667	100542
2208	952625
2084	1189334
2083	1006708
2125	418542
1666	78625
3083	1303458
2959	201542
2375	1197375
2208	995000
3625	438083
2417	549167
2834	775417
5250	1768834
6167	1330167
2167	1317917
2209	243875
2167	1667250
2333	1327000
2167	435708
2000	264042
3125	393500
2750	656292
2791	736083
2042	1374584
2708	625708
2875	861333
3333	1875625
2000	970375
2125	1578334
2791	918208
5583	1476042
5541	1718708
2041	486791
2083	1447333
7625	1009334
1875	1122625
1625	549417
1917	1712208
4292	1340917
1584	1829250
1166	1009625
1125	1061541
1834	1631250
3708	215458
1583	1721458
1458	110875
1792	1651917
1667	1143375
1750	1080458
1083	1370167
4333	969292
1334	44000
1125	684625
1125	1445292
1542	1272500
1583	321000
1125	1107416
1167	372917
1083	1308041
1666	537333
1417	139833
2458	1615208
2000	838083
1167	525833
2208	1395083
1417	1160958
1333	1068417
1542	52250
1334	116042
1250	203708
1250	769959
1292	1142750
1166	697875
4333	584666
2042	1808250
4084	1125959
3875	142625
1208	242292
4333	1012250
4542	1037167
1750	1237167
2000	1115000
1125	879083
1125	559625
1333	34750
1125	75375
2208	1338667
1375	764583
1166	862166
1292	374709
1167	674834
1417	161042
1083	1342292
1458	23208
1708	622000
1417	948542
1375	115708
1459	1004167
1666	849291
3875	1450916
1166	1485333
4458	1707042
2084	1847500
1209	1091375
1500	22416
4167	547292
4375	1523250
1292	233000
2042	1354083
1208	1645541
1208	1250333
1250	1721042
1167	1463833
1291	293416
1125	437833
1166	530166
1166	950208
1125	1617583
3875	1066667
1041	389458
1084	418834
1208	183500
1375	491958
1792	1401625
1834	823209
1208	983875
2000	1173917
1166	717000
1583	763458
1125	618375
1333	1055958
2333	304750
1500	1557541
4958	965250
1708	1419375
4375	1532917
4042	686458
1209	1026834
2375	921417
1208	543708
3875	1204750
1083	749333
2042	1860500
1625	366458
1208	272250
1125	1413625
1125	1632625
1125	1337833
1750	1642583
1125	1617958
1584	785250
2083	1496416
3334	194584
1667	1230125
1167	1577000
1791	1110791
1125	699584
1083	1683250
3916	1583916
1125	564875
4750	322500
1250	454959
1542	556167
3833	987208
1750	1487333
1375	386625
1875	1242666
1125	664333
1167	636709
1208	1420667
1750	1607625
1125	957791
1125	802959
1125	1297375
1125	737834
1167	1644500
1583	1486583
1750	605292
1167	1351167
1125	1119208
1917	712917
1167	948167
1083	1279708
1834	1436709
1041	817500
1084	814084
1083	1497750
1125	1235666
1083	1231958
2166	189000
1459	91417
2084	281750
1292	451084
1209	682167
1250	476500
1208	1801750
1125	695375
1083	971500
1125	779250
1625	1420250
2167	1614500
1500	823875
1500	1540375
2583	347625
1084	1245584
1916	773250
1125	246292
1041	604875
1875	1268833
1042	704375
1083	738417
1042	739375
1083	307458
1083	1008208
1375	105625
1667	1620167
1084	1445709
1084	1535250
1042	971959
1291	1848333
1917	1506125
1042	1876459
3750	745959
1167	552042
3750	543750
1083	1524500
1167	1599542
2042	20000
2166	1198000
1583	767416
1167	1259667
1250	367500
1208	1214583
1958	1634917
1583	307833
1417	81917
1209	775584
1166	823791
1167	727667
1334	67334
1666	1441333
1292	1476167
1208	1745750
1333	1554833
1167	364542
1333	45958
1416	1109958
1791	1335666
1167	632084
1167	330875
1166	1375041
1166	618250
1125	882334
1125	1738542
5750	683708
3750	1577209
1166	1156583
3833	1850833
1333	746292
3208	1452250
1125	1503042
3791	1134750
3875	1742916
1167	1842917
1083	1541708
3583	1592791
1125	717959
1375	32708
4666	244666
5959	36875
1500	124083
1542	724667
1375	1861750
1292	1828125
1209	1642917
1250	101083
1125	490125
1375	402666
1125	1264583
1917	1120458
1125	1131208
4792	493042
1750	1236750
1875	159458
1500	45542
1625	90667
1375	1775083
1375	796792
