# data/inputs-5K-1-value.txt isolated_hop_reset_array --ballast=5
#
# schedule(ns) total(ns)
179125	728125
409792	1652208
23417	139375
405917	1687209
86541	377791
59584	298417
179792	780333
471791	1922250
89042	396125
237583	1019875
481917	1988458
320500	1362750
111042	507542
479125	2009583
118375	541666
367084	1788709
329083	1515750
165375	762833
362041	1581666
339084	1532459
197250	1000791
301292	1550750
127917	493334
11375	83584
98500	532458
209209	975792
69208	359792
295667	1377417
284083	1290583
422750	1920375
351500	1595000
395292	1797875
91792	476750
179333	839125
172208	829416
161041	754708
364125	1581125
60417	333250
123750	569958
355666	1619250
118917	595459
106333	537250
228875	1063667
191167	936625
266584	1267084
188500	915292
358958	1822291
1045125	2272292
16458	91166
388833	1806333
210917	976584
237375	1092917
218000	1027375
140000	685500
379500	1734417
329334	1538375
187833	881833
394084	1723917
40625	254000
124416	631875
210958	981708
370292	1716833
98250	512500
116458	568667
155250	761875
286792	1349750
312333	1466958
152500	759625
4458	44167
336208	1518000
270958	1274750
32209	195959
11209	74459
169875	805667
70583	362083
207417	980083
423167	1845375
39042	237209
462916	1901583
186750	840166
5292	31250
298542	1402250
173416	816625
171459	832500
375625	1704333
281459	1286917
120334	615709
73709	379375
355834	1648959
339500	1540500
308291	1461791
366667	1685417
333666	1548208
69666	383458
44167	246583
365917	1803875
305333	1389000
256625	1190917
142792	693792
361500	1643375
184708	884292
271584	1261459
337375	1494917
181167	895875
21000	114625
101250	479292
170125	839583
287042	1311250
57959	319292
316958	1407958
338792	1561958
345292	1586167
9542	58917
344291	1686333
263917	1261542
194125	1027083
164084	857250
130750	673250
301625	1395833
364708	1725291
151625	719541
76125	406500
6500	40000
120625	599042
77542	405500
263083	1244750
26208	147500
310666	1494583
382833	1767250
52750	286875
25208	154542
46167	268084
251417	1207459
390459	1764000
313333	1436000
420583	1907583
226292	1083250
14292	89334
21541	142958
83000	435875
80584	459542
317500	1440708
97833	536666
81750	437125
399167	1782125
109166	578291
71750	399292
186291	962750
359125	1625041
148875	747667
375541	1678708
795500	1891375
75875	420875
45500	250667
108292	563083
174917	840375
403000	1835875
296708	1405042
220708	987083
80667	422958
299375	1491334
40458	184625
281792	1380500
70333	385625
62708	342125
117500	571167
133458	654750
15125	102041
376833	1799125
382292	1705125
137334	665167
377500	1808833
261250	1323375
328750	1662625
277083	1426291
358833	1746958
380542	1716375
46916	273583
285834	1333625
6375	41542
244083	1130333
384708	1717291
147875	731292
352667	1647583
276750	1285166
124833	641208
188625	894958
210000	984042
44500	279042
303166	1412083
179625	869667
59375	334542
53000	317292
373667	1706334
268083	1322333
13125	66666
139291	738666
28667	176000
81167	432500
110000	609042
195291	909250
325333	1526458
57167	311875
191375	940458
212125	996000
109333	539541
14625	94084
282500	1285541
208375	834625
41166	255125
413500	1840417
165708	810375
244583	1151208
122792	608709
383750	1784666
87416	442333
290417	1358334
134042	661375
13416	83541
249334	1148417
384875	1828208
357000	1737084
161791	830833
72417	405292
151500	782333
299041	744375
306500	1389167
213917	1002834
27542	181000
207375	983417
375875	1688375
239208	1107000
291834	1354834
149167	751542
318708	1468667
271708	1213083
20041	114125
165458	783583
227417	1063583
34708	219792
183333	868833
351250	1587750
275333	1296708
160208	779375
389334	1776292
174125	822417
128500	657208
94417	509125
158583	890417
181666	900291
281375	1224000
610083	1450083
140292	602417
237375	1237833
159584	797917
280291	1297625
198250	1017584
131875	673834
37792	253167
213375	996333
185667	889625
84083	438167
363375	1647333
43791	258750
296417	1384833
5167	40625
313958	1445875
358583	1616041
101167	503625
351417	1622792
63250	351792
345083	1613917
218667	1016875
89458	468333
377667	1860333
10375	50750
508625	1419333
881792	2120458
253542	1152083
246709	1100459
276208	1297375
212333	1008166
83584	427667
422709	1850709
79584	365209
418208	1831208
410542	1880209
237500	1120667
183833	898542
150416	699125
2708	20250
339000	1651875
63542	361459
46958	255333
12083	44875
205875	957791
116000	576083
367333	1769166
50833	249875
283208	1437792
196667	1019333
374084	1784250
302000	1380875
91042	475667
371458	1734875
208458	953458
366875	1575584
57250	321208
81417	430542
79209	427125
264333	1241875
133125	676834
284458	1323000
265583	1231291
96000	502083
218042	1036500
103042	532083
